FC Barcelona,L. Messi,leomessi
Juventus,Cristiano Ronaldo,cristiano
Paris Saint-Germain,Neymar Jr,neymarjr
Manchester United,De Gea,d_degeaofficial
Manchester City,K. De Bruyne,kevindebruyne
Chelsea,E. Hazard,hazardeden_10
Real Madrid,L. Modri_,lukamodric10
FC Barcelona,L. Suárez,luissuarez9
Real Madrid,Sergio Ramos,sergioramos
Atlético Madrid,J. Oblak,oblakjan
FC Bayern München,R. Lewandowski,_rl9
Real Madrid,T. Kroos,toni.kr8s
Atlético Madrid,D. Godín,diegogodin
Manchester City,David Silva,david21lva
Chelsea,N. Kanté,nglkante
Juventus,P. Dybala,paulodybala
Tottenham Hotspur,H. Kane,harrykane
Atlético Madrid,A. Griezmann,antogriezmann
FC Barcelona,M. ter Stegen,mterstegen1
Real Madrid,T. Courtois,thibautcourtois
FC Barcelona,Sergio Busquets,5sergiob
Paris Saint-Germain,E. Cavani,cavaniofficial21
FC Bayern München,M. Neuer,manuelneuer
Manchester City,S. Agüero,kunaguero
Juventus,G. Chiellini,giorgiochiellini
Paris Saint-Germain,K. Mbappé,k.mbappe
Liverpool,M. Salah,mosalah
Real Madrid,Casemiro,casemiro
FC Bayern München,J. Rodríguez,jamesrodriguez10
Napoli,L. Insigne,lorinsigneofficial
Real Madrid,Isco,iscoalarcon
Tottenham Hotspur,C. Eriksen,chriseriksen8
FC Barcelona,Coutinho,phil.coutinho
Arsenal,P. Aubameyang,aubameyang97
FC Bayern München,M. Hummels,aussenrist15
Real Madrid,Marcelo,marcelotwelve
Real Madrid,G. Bale,garethbale11
Milan,G. Higuaín,ghiguain20_9
Paris Saint-Germain,Thiago Silva,thiagosilva
Inter,S. Handanovi_,samirhandanovic
Paris Saint-Germain,G. Buffon,gianluigibuffon
FC Barcelona,S. Umtiti,samumtiti
Inter,M. Icardi,mauroicardi
Napoli,K. Koulibaly,kkoulibaly26
Manchester United,P. Pogba,paulpogba
Real Madrid,K. Navas,keylornavas1
Manchester United,R. Lukaku,romelulukaku
Lazio,C. Immobile,ciroimmobile17
FC Barcelona,Jordi Alba,jordialbaoficial
Napoli,D. Mertens,driesmertens
Tottenham Hotspur,J. Vertonghen,jvertonghen
Napoli,M. Ham_ík,marek_hamsik_17_official
FC Barcelona,I. Rakiti_,ivanrakitic
FC Barcelona,Piqué,3gerardpique
Manchester City,L. Sané,leroysane19
Manchester City,Bernardo Silva,bernardocarvalhosilva
Manchester City,Ederson,ederson93
Liverpool,S. Mané,sadiomaneofficiel
Liverpool,V. van Dijk,virgilvandijk
Manchester City,R. Sterling,sterling7
Liverpool,Roberto Firmino,roberto_firmino
Real Madrid,R. Varane,raphaelvarane
Paris Saint-Germain,M. Verratti,marco_verratti92
Juventus,Alex Sandro,alxsndro12
Juventus,Douglas Costa,douglascosta
FC Bayern München,T. Müller,esmuellert
FC Bayern München,Thiago,tmarretamma
Borussia Dortmund,M. Reus,marcinho11
Chelsea,Azpilicueta,cesarazpi
Juventus,L. Bonucci,bonuccileo19
Tottenham Hotspur,T. Alderweireld,tobyalderweireld
Juventus,M. Pjani_,miralem_pjanic
Juventus,M. Benatia,m.benatia5
Arsenal,M. Özil,m10_official
Manchester City,Fernandinho,fernandinho
Vissel Kobe,Iniesta,andresiniesta8
Inter,M. _kriniar,milanskriniar
Lazio,S. Milinkovi_-Savi_,sergej___21
Real Madrid,Marco Asensio,marcoasensio10
Olympique Lyonnais,N. Fekir,nabilfekir
Liverpool,Alisson,alissonbecker
FC Bayern München,J. Kimmich,jok_32
Atlético Madrid,Saúl,canelo
Manchester City,R. Mahrez,riyadmahrez.7.rm26
FC Bayern München,D. Alaba,da_27
Atlético Madrid,Koke,koke6
Arsenal,A. Lacazette,lacazettealex
Roma,K. Manolas,kostasmanolas44
Manchester City,N. Otamendi,nicolasotamendi30
Valencia CF,Parejo,dani_parejo10
Guangzhou Evergrande Taobao FC,Paulinho,paulinhop8
Juventus,W. Szcz_sny,wojciech.szczesny1
Manchester United,A. Sánchez,alexis_officia1
FC Porto,Y. Brahimi,brahimiofficiel
FC Bayern München,J. Boateng,jeromeboateng
FC Barcelona,A. Vidal,kingarturo23oficial
Inter,I. Peri_i_,ivanperisic444
Roma,E. D_eko,ed_dzeko
Juventus,S. Khedira,sami_khedira6
Atlético Madrid,Diego Costa,diegocosta_99
Inter,R. Nainggolan,radja_nainggolan_l4
FC Schalke 04,Naldo,naldo29_oficial
Juventus,B. Matuidi,blaisematuidiofficiel
Inter,Miranda,miranda023
Real Madrid,K. Benzema,karimbenzema
Atlético Madrid,Filipe Luís,filipeluis
Manchester City,V. Kompany,vincentkompany
Be_ikta_ JK,Pepe,pepe
LA Galaxy,Z. Ibrahimovi_,iamzlatanibrahimovic
Tottenham Hotspur,D. Sánchez,daosanchez13
Atlético Madrid,J. Giménez,josemariagimenez
FC Porto,Alex Telles,alextelles13
Manchester City,A. Laporte,laporte
Sporting CP,Bruno Fernandes,brunofernandes.10
FC Bayern München,N. Süle,n.suele
Manchester United,A. Martial,martial_9
Tottenham Hotspur,D. Alli,dele
Liverpool,Fabinho,fabinho
Paris Saint-Germain,Marquinhos,marquinhosm5
Real Betis,William Carvalho,wcarvalho14
Chelsea,Jorginho,jorginhofrello
Olympique de Marseille,F. Thauvin,flotov
Real Madrid,Carvajal,dani.carvajal.2
Olympique Lyonnais,M. Depay,memphisdepay
Tottenham Hotspur,H. Son,hm_son7
Olympique Lyonnais,A. Lopes,antholopes_officiel
Inter,S. de Vrij,stefandevrij
Juventus,M. Perin,mattiaperin
Juventus,J. Cuadrado,cuadrado
RC Celta,Iago Aspas,i.aspas10
Arsenal,B. Leno,berndleno1
Manchester United,N. Mati_,nemanjamatic
Bayer 04 Leverkusen,L. Hrádeck_,lhradecky
Real Sociedad,Illarramendi,illarra4
Manchester City,K. Walker,kwpeters
Manchester City,I. Gündo_an,ilkayguendogan
Napoli,José Callejón,jcallejon21
Paris Saint-Germain,A. Di María,angeldimariajm
Juventus,M. Mand_uki_,mariomandzukic
Chelsea,Willian,willianborges88
Villarreal CF,Sergio Asenjo,sergioasenjo1
Sevilla FC,E. Banega,ever19banega
Borussia Dortmund,A. Witsel,axelwitsel28
Olympique de Marseille,D. Payet,payetdimitri27
Arsenal,Sokratis,sokratispapa.official
AS Saint-Étienne,S. Ruffier,stephruffier
AS Monaco,Falcao,falcao
Leicester City,K. Schmeichel,kasperschmeichel
Napoli,Raúl Albiol,raulalbiol33
Atalanta,A. Gómez,papugomez_official
Juventus,A. Barzagli,andreabarzagli15
Be_ikta_ JK,Quaresma,ricardoquaresmaoficial
FC Bayern München,A. Robben,arjenrobben
FC Barcelona,O. Dembélé,o.dembele7
Manchester City,Gabriel Jesus,dejesusoficial
Paris Saint-Germain,P. Kimpembe,kimpembe3
Liverpool,N. Keïta,keitanabydeco
FC Bayern München,C. Tolisso,corentintolisso
Atlético Madrid,T. Lemar,thom_lemar27
FC Bayern München,K. Coman,king_coman
Bayer 04 Leverkusen,J. Tah,jonathantah_
Guangzhou Evergrande Taobao FC,Anderson Talisca,andersontalisca
RB Leipzig,T. Werner,timowerner
Paris Saint-Germain,A. Rabiot,adrienrabiot_25
FC Bayern München,L. Goretzka,leon_goretzka
Sevilla FC,Q. Promes,qpromes
Ajax,H. Ziyech,hziyech
Real Madrid,Lucas Vázquez,lucasvazquez91
Dalian YiFang FC,Y. Carrasco,yannickferreiracarrasco
Villarreal CF,Gerard Moreno,gerard_moreno
FC Porto,Felipe,f.lipe8
Chelsea,M. Kova_i_,mateokovacic8
Chelsea,Kepa,kepaarrizabalaga
Villarreal CF,Manu Trigueros,manutrigueros_14
FC Bayern München,S. Gnabry,sergegnabry
Everton,J. Pickford,jpickford1
Atlético Madrid,S. Savi_,sergej___21
Manchester City,J. Stones,johnstonesofficial
Milan,Suso,suso
Paris Saint-Germain,J. Draxler,draxlerofficial
West Ham United,Felipe Anderson,f_andersoon
Tottenham Hotspur,Lucas Moura,lucasmoura7
FC Porto,Danilo Pereira,danilo_pereira
Real Madrid,Nacho Fernández,nachofdez90
1. FC Köln,T. Horn,timohorn_1
Napoli,Allan,allanmarques91
Lazio,F. Acerbi,francescoacerbi88
FC Barcelona,Sergi Roberto,sergiroberto
Valencia CF,Rodrigo,rodrigom_91
SL Benfica,Pizzi,pizzi21
RB Leipzig,K. Kampl,kevinkampl
Valencia CF,Neto,netoomurara
TSG 1899 Hoffenheim,O. Baumann,olibaumann90
Everton,I. Gueye,iganagueye
Arsenal,H. Mkhitaryan,micki_taryan
Chelsea,Marcos Alonso,marcosalonso28
AS Monaco,D. Suba_i_,danijel.subasic
AS Monaco,K. Glik,kamilglik25
Olympique de Marseille,K. Strootman,kevinstrootman